Timestamp,timeseries_id,Seconds_EnergyConsumption,location,inhabitants
2023-05-22 14:48:40.218104,1sanierung-apartment,6210.21,street a,4
2023-05-22 14:48:40.218142,2sanierung-apartment,22638.44,street b,5
2023-05-22 14:48:40.218158,3sanierung-apartment,22572.23,street c,3
2023-05-22 14:48:40.218169,4sanierung-apartment,3264.36,street c,3
2023-05-22 14:48:40.218180,5sanierung-apartment,16744.69,street a,5
2023-05-22 14:48:40.218191,6sanierung-apartment,3236.32,street b,3
2023-05-22 14:48:40.218201,7sanierung-apartment,2912.84,street c,1
2023-05-22 14:48:40.218212,8sanierung-apartment,4509.29,street c,2
2023-05-22 14:48:40.218222,9sanierung-apartment,25517.95,street a,5
2023-05-22 14:48:40.218232,10sanierung-apartment,16889.94,street b,3
2023-05-22 14:48:40.218242,11sanierung-apartment,5533.03,street c,3
2023-05-22 14:48:40.218253,12sanierung-apartment,22440.87,street c,5
2023-05-22 14:48:40.218263,13sanierung-apartment,9566.89,street a,1
2023-05-22 14:48:40.218273,14sanierung-apartment,16630.25,street b,2
2023-05-22 14:48:40.218283,15sanierung-apartment,47856.38,street c,5
2023-05-22 14:48:40.218293,16sanierung-apartment,25555.11,street c,5
2023-05-22 14:48:40.218303,17sanierung-apartment,3619.94,street a,3
2023-05-22 14:48:40.218313,18sanierung-apartment,5992.42,street b,4
2023-05-22 14:48:40.218323,19sanierung-apartment,7077.65,street c,1
2023-05-22 14:48:40.218333,20sanierung-apartment,13832.58,street c,2
2023-05-22 14:48:40.218343,21sanierung-apartment,16758.08,street a,4
2023-05-22 14:48:40.218353,22sanierung-apartment,3793.57,street b,3
2023-05-22 14:48:40.218363,23sanierung-apartment,6008.81,street c,1
2023-05-22 14:48:40.218373,24sanierung-apartment,18016.21,street c,3
2023-05-22 14:48:40.218383,25sanierung-apartment,36632.05,street a,4
2023-05-22 14:48:40.218393,26sanierung-apartment,12265.44,street b,2
2023-05-22 14:48:40.218403,27sanierung-apartment,1092.13,street c,1
2023-05-22 14:48:40.218413,28sanierung-apartment,9743.77,street c,1
2023-05-22 14:48:40.218423,29sanierung-apartment,39318.76,street a,5
2023-05-22 14:48:40.218432,30sanierung-apartment,27910.32,street b,3
2023-05-22 14:48:40.218442,31sanierung-apartment,17809.44,street c,3
2023-05-22 14:48:40.218452,32sanierung-apartment,7268.07,street c,1
2023-05-22 14:48:40.218462,33sanierung-apartment,21772.34,street a,4
2023-05-22 14:48:40.218472,34sanierung-apartment,19831.12,street b,4
2023-05-22 14:48:40.218482,35sanierung-apartment,18861.14,street c,3
2023-05-22 14:48:40.218492,36sanierung-apartment,34656.07,street c,5
2023-05-22 14:48:40.218502,37sanierung-apartment,4732.22,street a,3
2023-05-22 14:48:40.218512,38sanierung-apartment,45216.54,street b,5
2023-05-22 14:48:40.218522,39sanierung-apartment,17936.68,street c,5
2023-05-22 14:48:40.218532,40sanierung-apartment,16578.2,street c,5
2023-05-22 14:48:40.218542,41sanierung-apartment,45098.75,street a,5
2023-05-22 14:48:40.218552,42sanierung-apartment,14963.67,street b,3
2023-05-22 14:48:40.218562,43sanierung-apartment,17697.17,street c,4
2023-05-22 14:48:40.218572,44sanierung-apartment,2612.79,street c,1
2023-05-22 14:48:40.218582,45sanierung-apartment,29926.38,street a,3
2023-05-22 14:48:40.218591,46sanierung-apartment,46006.78,street b,5
2023-05-22 14:48:40.218601,47sanierung-apartment,22455.76,street c,4
2023-05-22 14:48:40.218611,48sanierung-apartment,5984.69,street c,5
2023-05-22 14:48:40.218621,49sanierung-apartment,41388.41,street a,5
2023-05-22 14:48:40.218631,50sanierung-apartment,22019.7,street b,5
2023-05-22 14:48:40.218641,51sanierung-apartment,27696.14,street c,5
2023-05-22 14:48:40.218651,52sanierung-apartment,2618.06,street c,1
2023-05-22 14:48:40.218661,53sanierung-apartment,35459.02,street a,5
2023-05-22 14:48:40.218671,54sanierung-apartment,15113.12,street b,2
2023-05-22 14:48:40.218681,55sanierung-apartment,7811.74,street c,3
2023-05-22 14:48:40.218691,56sanierung-apartment,23642.4,street c,3
2023-05-22 14:48:40.218700,57sanierung-apartment,20630.96,street a,4
2023-05-22 14:48:40.218710,58sanierung-apartment,49985.35,street b,5
2023-05-22 14:48:40.218720,59sanierung-apartment,6179.86,street c,1
2023-05-22 14:48:40.218730,60sanierung-apartment,8171.08,street c,4
2023-05-22 14:48:40.218740,61sanierung-apartment,11394.45,street a,2
2023-05-22 14:48:40.218791,62sanierung-apartment,26314.19,street b,4
2023-05-22 14:48:40.218802,63sanierung-apartment,6416.66,street c,1
2023-05-22 14:48:40.218812,64sanierung-apartment,35453.38,street c,5
2023-05-22 14:48:40.218822,65sanierung-apartment,24890.01,street a,3
2023-05-22 14:48:40.218834,66sanierung-apartment,7209.85,street b,4
2023-05-22 14:48:40.218848,67sanierung-apartment,6357.77,street c,3
2023-05-22 14:48:40.218858,68sanierung-apartment,11454.07,street c,3
2023-05-22 14:48:40.218868,69sanierung-apartment,43411.37,street a,5
2023-05-22 14:48:40.218878,70sanierung-apartment,6068.94,street b,2
2023-05-22 14:48:40.218888,71sanierung-apartment,33260.65,street c,5
2023-05-22 14:48:40.218898,72sanierung-apartment,34585.37,street c,4
