age,education-num,marital-status,gender,capital-gain,hours-per-week,income
39,13,1,1,2174,40,0
50,13,0,1,0,13,0
38,9,1,1,0,40,0
53,7,0,1,0,40,0
28,13,0,0,0,40,0
37,14,0,0,0,40,0
49,5,0,0,0,16,0
52,9,0,1,0,45,1
31,14,1,0,14084,50,1
42,13,0,1,5178,40,1
37,10,0,1,0,80,1
30,13,0,1,0,40,1
23,13,1,0,0,30,0
32,12,1,1,0,50,0
40,11,0,1,0,40,1
34,4,0,1,0,45,0
25,9,1,1,0,35,0
32,9,1,1,0,40,0
38,7,0,1,0,50,0
43,14,1,0,0,45,1
40,16,0,1,0,60,1
54,9,1,0,0,20,0
35,5,0,1,0,40,0
43,7,0,1,0,40,0
59,9,1,0,0,40,0
56,13,0,1,0,40,1
19,9,1,1,0,40,0
54,10,0,1,0,60,1
39,9,1,1,0,80,0
49,9,0,1,0,40,0
23,12,1,1,0,52,0
20,10,1,1,0,44,0
45,13,1,1,0,40,0
30,10,0,1,0,40,0
22,10,0,1,0,15,0
48,7,1,1,0,40,0
21,10,1,1,0,40,0
19,9,0,0,0,25,0
31,10,0,1,0,38,1
48,12,0,1,0,40,0
31,5,0,1,0,43,0
53,13,0,1,0,40,0
24,13,0,1,0,50,0
49,9,1,0,0,40,0
25,9,1,1,0,35,0
57,13,0,1,0,40,1
53,9,0,1,0,38,0
44,14,1,0,0,40,0
41,11,0,1,0,40,0
29,11,1,1,0,43,0
25,10,0,0,0,40,0
18,9,1,0,0,30,0
47,15,0,0,0,60,1
50,13,1,1,0,55,1
47,9,1,1,0,60,0
43,10,0,1,0,40,1
46,3,0,1,0,40,0
35,11,0,1,0,40,0
41,9,0,1,0,48,0
30,9,0,1,5013,40,0
30,13,0,1,2407,40,0
32,4,0,1,0,40,0
48,9,0,1,0,40,0
42,16,0,1,0,45,1
29,10,1,1,0,58,0
36,9,0,1,0,40,0
28,10,1,0,0,40,0
53,9,0,0,0,40,1
49,10,0,1,0,50,1
25,10,1,1,0,40,0
19,10,1,1,0,32,0
31,13,1,0,0,40,0
29,13,0,1,0,70,1
23,10,1,1,0,40,0
79,10,0,1,0,20,0
27,9,1,1,0,40,0
40,12,0,1,0,40,0
67,6,0,1,0,2,0
18,7,1,0,0,22,0
31,4,0,1,0,40,0
18,9,1,1,0,30,0
52,13,0,1,0,40,0
46,9,0,0,0,40,0
59,9,0,1,0,48,0
44,9,1,0,14344,40,1
53,9,1,0,0,35,0
49,9,0,1,0,40,1
33,14,0,1,0,50,0
30,5,1,1,0,40,0
43,16,1,0,0,50,1
57,11,0,1,0,40,0
37,10,1,0,0,40,0
28,10,1,0,0,25,0
30,9,0,0,0,35,0
34,13,0,1,0,40,1
29,10,1,1,0,50,0
48,16,0,1,0,60,1
37,10,0,1,0,48,1
48,12,1,0,0,40,0
32,9,1,1,0,40,0
76,14,0,1,0,40,1
44,13,0,1,15024,60,1
47,14,1,0,0,50,0
20,10,1,0,0,40,0
29,9,1,1,0,40,0
32,9,0,1,7688,40,1
17,6,1,0,34095,32,0
30,7,1,1,0,40,0
31,9,1,0,0,40,0
42,9,0,1,0,40,0
24,13,1,1,0,40,0
38,15,0,1,0,40,1
56,9,0,1,0,50,1
28,10,0,0,4064,25,0
36,9,1,0,0,40,0
53,5,0,1,0,50,0
56,10,0,1,0,50,0
49,11,0,1,0,40,1
55,10,0,1,0,56,0
22,9,1,1,0,41,0
21,10,1,0,0,40,0
40,13,0,1,0,60,0
30,13,1,1,0,40,0
29,13,0,1,0,50,1
19,10,1,1,0,35,0
47,13,0,0,0,40,1
20,10,1,0,0,28,0
31,12,0,1,0,40,1
35,9,0,1,0,40,0
39,10,1,1,0,40,0
28,12,1,0,0,60,0
24,9,1,0,0,40,0
38,9,0,1,4386,35,0
37,13,0,1,0,50,0
46,12,1,0,0,36,0
38,14,0,1,0,40,1
43,9,0,1,0,60,0
27,11,0,0,0,35,0
20,10,1,1,0,20,0
49,10,0,1,0,40,1
61,9,0,1,0,40,0
27,10,1,0,0,40,0
19,10,1,1,0,30,0
45,11,1,0,0,40,1
70,10,1,1,0,40,0
31,9,1,0,0,30,0
22,10,0,1,0,24,0
36,9,1,0,0,24,0
64,7,0,1,0,40,0
43,10,1,0,0,40,0
47,10,1,0,0,38,0
34,9,1,0,0,40,0
33,13,1,0,0,40,0
21,9,1,1,0,35,0
52,9,1,1,0,45,1
48,9,0,1,0,46,0
23,13,1,1,0,40,0
71,10,1,1,0,2,0
29,9,1,1,0,60,0
42,13,1,1,0,50,0
68,2,1,0,0,20,0
25,9,1,0,0,40,0
44,14,1,0,0,40,0
28,9,1,0,0,40,0
45,14,0,1,0,40,1
36,10,1,0,0,40,0
39,12,1,1,0,42,0
46,14,1,1,0,40,0
18,7,1,1,0,16,0
66,11,1,0,0,20,0
